Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
1341	 1.22296	 0.97493	 3.84890	 6.71108	 2.91447	 2.56854	 5.56341	 0.07593	 0.11574	 0.77326	21.91235	-1348.511433	-1401679.851505	-53168.418922
1342	 1.26903	 0.96540	 3.78683	 6.93978	 3.03851	 2.58054	 5.42717	 0.07628	 0.11628	 0.77687	22.39350	-1348.733257	-1401709.736268	-52976.479064
1343	 1.29301	 0.93904	 3.84553	 7.16912	 3.03052	 2.57375	 5.41291	 0.07608	 0.11597	 0.77483	22.96276	-1348.444954	-1401681.422103	-53236.468113
1344	 1.19685	 0.96821	 3.96631	 7.15240	 2.94310	 2.51226	 5.31848	 0.07590	 0.11570	 0.77302	22.49743	-1348.433360	-1401663.314087	-53229.953782
1345	 1.20049	 0.97116	 3.79173	 7.39773	 3.08908	 2.51991	 5.33466	 0.08279	 0.12335	 0.77537	22.92101	-1348.317342	-1401661.408993	-53344.066684
1346	 1.25195	 0.98095	 3.87657	 7.02479	 2.96751	 2.51231	 5.31858	 0.08254	 0.12297	 0.73963	23.25548	-1348.250421	-1401686.112579	-53435.691524
1347	 1.25685	 0.94871	 3.77484	 7.33330	 2.97912	 2.52215	 5.16420	 0.09023	 0.12346	 0.74252	22.73190	-1348.411699	-1401696.149162	-53284.450069
1348	 1.25326	 0.94600	 3.76406	 7.55363	 2.85231	 2.51494	 5.14945	 0.08997	 0.12310	 0.74040	22.41136	-1348.381199	-1401683.058044	-53301.858847
1349	 1.17728	 0.94874	 3.77495	 7.24873	 3.03505	 2.63155	 5.16434	 0.09023	 0.12346	 0.74255	22.16454	-1348.369548	-1401661.034318	-53291.486232
1350	 1.22169	 0.90564	 3.92256	 7.16793	 2.92505	 2.62636	 5.15415	 0.09005	 0.12322	 0.74108	22.62479	-1348.578793	-1401736.586046	-53157.793107
1351	 1.16120	 0.95865	 3.79917	 7.35766	 2.83088	 2.58313	 5.13722	 0.08976	 0.12281	 0.74666	22.23177	-1348.540351	-1401726.223987	-53185.873320
1352	 1.20672	 0.93325	 3.80503	 6.98238	 2.96346	 2.49447	 4.81275	 0.08990	 0.13324	 0.74781	22.62330	-1348.328293	-1401720.396669	-53392.103205
1353	 1.18918	 0.89565	 3.98005	 7.00905	 2.88182	 2.50399	 5.03822	 0.09024	 0.13375	 0.75067	22.86803	-1348.377555	-1401714.540828	-53336.985701
1354	 1.18537	 0.93044	 3.90184	 7.67479	 2.73689	 2.57578	 5.02206	 0.08995	 0.13332	 0.74826	23.48106	-1348.181569	-1401725.006817	-53543.438216
1355	 1.20740	 0.97730	 4.06941	 8.00663	 2.74123	 2.57987	 5.03004	 0.09009	 0.12653	 0.73771	23.05133	-1348.439086	-1401768.732172	-53329.646500
1356	 1.16799	 1.01293	 3.92702	 7.73347	 2.74043	 2.57912	 5.02857	 0.09007	 0.12650	 0.71422	22.91257	-1348.287406	-1401741.009373	-53453.603444
1357	 1.11294	 0.96755	 3.77378	 7.70331	 2.81666	 2.56906	 4.92026	 0.08972	 0.12600	 0.71143	22.85546	-1348.234076	-1401677.561666	-53443.485589
1358	 1.15678	 0.97082	 3.54825	 7.29322	 2.82619	 2.57774	 4.99874	 0.08209	 0.12240	 0.71384	23.22885	-1348.232198	-1401711.646205	-53479.448453
1359	 1.10224	 1.00710	 3.55802	 6.96064	 2.97767	 2.58484	 4.76800	 0.08231	 0.12758	 0.71580	22.52571	-1348.180698	-1401707.808035	-53527.109644
1360	 1.16155	 1.03485	 3.56303	 6.97045	 2.93269	 2.58848	 4.77472	 0.07975	 0.12776	 0.71681	22.98529	-1348.330934	-1401730.475494	-53399.541879
1361	 1.11152	 1.06195	 3.41410	 7.22639	 2.86849	 2.58848	 4.77472	 0.07975	 0.12776	 0.71681	23.67314	-1348.442128	-1401767.296248	-53325.168019
1362	 1.07138	 1.03080	 3.56627	 7.53369	 2.74834	 2.58502	 4.76832	 0.08492	 0.12759	 0.71585	24.36874	-1348.315365	-1401739.429112	-53424.063988
1363	 1.07394	 0.99145	 3.60642	 7.71354	 2.81531	 2.66034	 4.77971	 0.08513	 0.12789	 0.71756	24.86974	-1348.379616	-1401714.214914	-53334.598975
1364	 1.03188	 1.02678	 3.64019	 8.05235	 2.69369	 2.64862	 4.97436	 0.08475	 0.12733	 0.71440	25.65894	-1348.427482	-1401777.454896	-53349.972834
1365	 1.02536	 1.07099	 3.56691	 7.73475	 2.69047	 2.59081	 4.96842	 0.08465	 0.12224	 0.71355	26.42880	-1348.519773	-1401738.832328	-53219.059369
1366	 1.02398	 1.03266	 3.67759	 7.72433	 2.81532	 2.58732	 5.08481	 0.07641	 0.11365	 0.71259	26.88585	-1348.394549	-1401735.876634	-53341.327712
1367	 1.05540	 0.98211	 3.58368	 7.96882	 2.80726	 2.57992	 4.84704	 0.07619	 0.11923	 0.71055	27.72604	-1348.401156	-1401837.997637	-53436.842119
1368	 1.09098	 1.03285	 3.48246	 7.56327	 2.86713	 2.58629	 4.85900	 0.07638	 0.11952	 0.71230	27.13969	-1348.506575	-1401752.934616	-53246.359460
1369	 1.02323	 1.07747	 3.40042	 7.35509	 2.87032	 2.58916	 4.86441	 0.07647	 0.11965	 0.71309	26.57777	-1348.372987	-1401746.663831	-53373.676577
1370	 1.02742	 1.09226	 3.57014	 7.69168	 2.79106	 2.59976	 4.88432	 0.07240	 0.11309	 0.72286	26.47033	-1348.403600	-1401791.197725	-53387.597614
1371	 0.99106	 1.09020	 3.68841	 7.34981	 2.72252	 2.59486	 4.87510	 0.07226	 0.11765	 0.72150	27.32323	-1348.661375	-1401816.721932	-53155.346776
1372	 0.98840	 1.11066	 3.78769	 6.87498	 2.75605	 2.68750	 4.86202	 0.07207	 0.11733	 0.71956	27.63102	-1348.368806	-1401772.812258	-53404.006272
1373	 0.98840	 1.07804	 3.92463	 7.25661	 2.75605	 2.61193	 4.86202	 0.07207	 0.11733	 0.71956	26.81982	-1348.330064	-1401734.486784	-53404.423036
1374	 0.98716	 1.12032	 4.05496	 6.85774	 2.66775	 2.60864	 4.85590	 0.07198	 0.11719	 0.71866	26.25530	-1348.229380	-1401728.352737	-53498.972515
1375	 0.98716	 1.06804	 3.77494	 7.04077	 2.78391	 2.60864	 4.85590	 0.07198	 0.11719	 0.71866	26.62805	-1348.111250	-1401741.767629	-53630.517449
1376	 0.96195	 1.11126	 3.62004	 7.06250	 2.92003	 2.57330	 4.74923	 0.07220	 0.12159	 0.72087	27.27942	-1348.272479	-1401736.740048	-53464.260972
1377	 1.01434	 1.14617	 3.84664	 7.03401	 2.79117	 2.64424	 4.77209	 0.08081	 0.12218	 0.71352	26.57710	-1348.100811	-1401732.636415	-53631.825765
1378	 0.98037	 1.17132	 3.69584	 7.02152	 2.70837	 2.63954	 4.76362	 0.08066	 0.12196	 0.71225	27.11063	-1348.363270	-1401772.982829	-53409.712648
1379	 0.93493	 1.15802	 3.97973	 7.25323	 2.86815	 2.64907	 4.91972	 0.08095	 0.12240	 0.71482	26.73399	-1348.306395	-1401744.028158	-53437.633014
1380	 0.96627	 1.11354	 3.79826	 7.52302	 2.99572	 2.65329	 4.92755	 0.08108	 0.12260	 0.71596	27.40227	-1348.387790	-1401753.060912	-53365.270599
1381	 1.00619	 1.06144	 3.88011	 7.76952	 2.99028	 2.64847	 4.91860	 0.08094	 0.11788	 0.71466	26.86565	-1348.299008	-1401759.751166	-53460.742963
1382	 0.98148	 1.09646	 3.77455	 7.58303	 2.93790	 2.65724	 4.76040	 0.08120	 0.11827	 0.71703	27.25831	-1348.390720	-1401767.469838	-53376.750165
1383	 0.94479	 1.07549	 3.89034	 7.56850	 2.98453	 2.65215	 4.85499	 0.08105	 0.11805	 0.71565	26.71914	-1348.289648	-1401764.764507	-53475.116779
1384	 0.94479	 1.12339	 3.68992	 7.24605	 3.15912	 2.65215	 4.85499	 0.08524	 0.11433	 0.71565	25.92741	-1348.251238	-1401762.850877	-53511.612896
1385	 0.99656	 1.16247	 3.74140	 7.22996	 3.21131	 2.59864	 4.74755	 0.08505	 0.11408	 0.71406	26.58735	-1348.287282	-1401759.997543	-53472.715818
1386	 0.95778	 1.16038	 3.86693	 6.94871	 3.06439	 2.59397	 4.84642	 0.08490	 0.11387	 0.71278	27.10194	-1348.179477	-1401720.433873	-53540.957072
1387	 0.95477	 1.20793	 3.67016	 6.92684	 2.97126	 2.46662	 4.83116	 0.09236	 0.11830	 0.71054	26.78702	-1348.209720	-1401720.786653	-53511.066361
1388	 0.95792	 1.24386	 3.76931	 6.94973	 2.89802	 2.56229	 4.84713	 0.09267	 0.11870	 0.71288	26.08193	-1348.217948	-1401744.984893	-53527.037302
1389	 0.98227	 1.24386	 3.76931	 6.72163	 3.05910	 2.56229	 4.84713	 0.09062	 0.11870	 0.71288	26.51402	-1348.294703	-1401721.440604	-53426.737759
1390	 1.01182	 1.32172	 3.87020	 7.05411	 3.20189	 2.56685	 4.85574	 0.08489	 0.11891	 0.71415	27.22658	-1348.290925	-1401721.282648	-53430.357895
1391	 0.98158	 1.36521	 3.74394	 6.71195	 3.13669	 2.56054	 4.95630	 0.07602	 0.11861	 0.72342	26.87068	-1348.361792	-1401743.784513	-53381.992221
1392	 1.00262	 1.33011	 3.56507	 6.50468	 2.96805	 2.55642	 4.94833	 0.07590	 0.11842	 0.72226	27.52269	-1348.299735	-1401766.565338	-53466.830125
1393	 1.06612	 1.27717	 3.46642	 6.77824	 2.88575	 2.48501	 5.07103	 0.07606	 0.10972	 0.70975	27.84142	-1348.186027	-1401711.114121	-53525.086820
1394	 1.02372	 1.23242	 3.33604	 6.74275	 3.04849	 2.47200	 5.19252	 0.07567	 0.10915	 0.70603	28.39851	-1348.401032	-1401685.407869	-53284.375988
1395	 0.97678	 1.26594	 3.22406	 6.40738	 2.88444	 2.46330	 5.34421	 0.07957	 0.10876	 0.70393	27.95838	-1348.405377	-1401721.483962	-53316.106478
1396	 0.99125	 1.33630	 3.26984	 6.74060	 2.70719	 2.45829	 5.33333	 0.07940	 0.10854	 0.70249	28.59336	-1348.548329	-1401694.563916	-53146.234722
1397	 0.96184	 1.29261	 3.20289	 6.49939	 2.62863	 2.46515	 5.13111	 0.07963	 0.10884	 0.70445	28.24821	-1348.342663	-1401672.152257	-53329.489685
1398	 0.95858	 1.35951	 3.14314	 6.70460	 2.51228	 2.35749	 5.11372	 0.07936	 0.10865	 0.70207	27.77071	-1348.188655	-1401693.137367	-53504.482183
1399	 0.92300	 1.41039	 3.01567	 6.72529	 2.57215	 2.35479	 5.12950	 0.07960	 0.10899	 0.70895	28.19660	-1348.157622	-1401725.963307	-53568.340826
1400	 0.98466	 1.47152	 2.91671	 6.75016	 2.49255	 2.36350	 5.29035	 0.07990	 0.10939	 0.71158	27.68705	-1348.148600	-1401787.669326	-53639.068999
1401	 1.04491	 1.41538	 2.79428	 6.87571	 2.42970	 2.49099	 5.04812	 0.08022	 0.10984	 0.71448	27.67911	-1348.349199	-1401774.376214	-53425.177651
